Id,Name,Address Line 1,City,State,Zip,Tel,Payer Id
731,American Worker 2,PO BOX 211704,Eagan,MN,55121,888-798-9480,93158
553,Amerigroup of Indiana,PO BOX 61010,VIRGINIA BEACH,VA,23466-1010,800-454-3730,27514
623,AMITA Health Solutions - BCBS MA Amita,1639 N ALPINE RD,ROCKFORD,IL,61107-1481,630-348-3626,36346
704,Amita Resurrection Medical Center,630 E. JEFFERSON ST,ROCKFORD,IL,61107,773-572-8300,36396
643,AMITA ST JOSEPH HEALTH,630 E. JEFFERSON ST,Rockford,IL,61107,888-747-2264,36396
621,AMITA ST. MARYS & ELIZABETH HMO,1639 N Alpine Road,ROCKFORD,IL,61107,888-747-2264,36396
640,Amita/BCBS Pre-fix -YLI or IOQ,PO BOX 37506,Oak Park,MI,48237-0506,844-659-2519,38259
250,ANTHEM BLUE CROSS,P O BOX 805107,CHICAGO,IL,606803625,800-972-8088,SB621
302,Apex,1240 E DIEHL ROAD SUITE 100,NAPERVILLE,IL,605630000,630-300-6232,51909
7,APOGEE HEALTH PARTNERS,2850 S WABASH AVE,CHICAGO,IL,606162955,773-737-7300,SPRNT
578,APWU Health Plan 2,PO BOX 1358,GLEN BURNIE,MD,21060-1358,800-222-2798,44444
624,Arcadia-BCBS Plan,Amita Health CIN,Rockford,IL,61107,888-747-2264,36396
625,Arcadia-Humana Plan,Amita Health CIN,Rockford,IL,61107,877-274-9183,36396
155,Arkansas Blue Cross and Blue Shield,P O BOX 2181,Little Rock,AR,72203,877-233-7022,12021
860,Ascendion SmartHealth 2,P.O. BOX 37705,Oak Park,MI,48237-7705,888-492-6811,38259
683,Ascension Complete,PO BOX 8050,FARMINGTON,MO,63640-8010,833-293-5966,68069
808,ASCENSION COMPLETE ILLINOIS MEDICARE,PO BOX 3060,FARMINGTON,MO,63640-3822,833-293-5966,68069
639,Ascension SmartHealth,P.O. BOX 37705,Oak Park,MI,48237-7705,888-492-6811,38259
769,ASH,PO Box 1810,Draper,UT,84020,844-270-8444,88067
506,ASR Health Benefit,PO BOX 6392,Grand Rapids,MI,49516-6392,800-968-3033,38265
622,ASR HEALTH BENEFIT 2,PO BOX 6392,GRAND RAPIDS,MI,495166392,800-968-3033,38265
627,ASRM,505 S LENOLA RD,MOORESTOWN,NJ,08057-1549,866-282-1491,ASRM1
123,Assurant Health 2,PO BOX 624,MIlwaukee,WI,532010624,800-328-4316,39065
8,ASSURANT HEALTH/ASA,P O BOX 91604,Lubbock,TX,79490,800-328-4316,SPRNT
221,AUXIANT PPO,"PMB 418, 15560 N. FLW Blvd",Scottsdale,AZ,852600000,800-279-6772,
227,AUXIANT PPO 2,"PMB 418, 15560 N. FLW Blvd",Scottsdale,AZ,852600000,800-279-6772,
365,AXA EQUITABLE,PO BOX 2107,GRAPEVINE,TX,76099-2107,800-782-9355,PAPER
76,Bakery and Confectionery union,10401 Connecticut Ave,Kensington,MD,208953960,301-468-3731,SPRNT
510,Bakery Drivers Local 734,6643 N NORTHWEST HWY,CHICAGO,IL,60631-1300,773-594-2810,
337,BANKERS FIDELITY,PO BOX 105652,ATLANTA,GA,30348-5056,301-468-3731,BNKFL
89,Bankers Life and Casualty,Colonial Penn Life INsurance Company,Carmel,IN,460821935,800-800-2254,SPRNT
582,BAS (BENEFIT ADMINISTRATIVE SYSTEMS LL,PO BOX 2920,MILWAUKEE,WI,53201-2900,800-523-0582,36149
867,BCBS AMITA CIN,PO BOX 805107,CHICAGO,IL,60680-3625,800-538-8833,SB621
136,BCBS FACILITY,PO BOX 805107,CHICAGO,IL,606803625,800-972-8088,SB621
618,BCBS HMO,PO BOX 805107,CHICAGO,IL,60680-3625,800-972-8088,2
868,BCBS HMO UNIV OF IL CHICAGO PHYS,1639 N ALPINE RD,ROCKFORD,IL,61107,800-865-0093,36364
407,Benefit Administrative Systems,PO Box 188061,Chattanooga,TN,37422-8061,800-523-0582,62308
362,Benefit Administrative Systems,PO BOX 2920,Milwaukee,WI,53201-2920,800-523-0582,36149
363,Benefit Administrative Systems 2,P O BOX 2920,Milwaukee,WI,53201-2920,800-523-0582,36149
656,Benefit Plan Administrators Inc,PO Box 21392,Eagan,MN,55121,800-277-8973,19753
692,BIND/United Health Group,PO BOX 211758,EAGAN,MN,55121-3751,844-368-6661,25463
778,Bind2,PO BOX 211758,Eagon,MN,55121-3751,844-368-6661,25463
592,BLUE ADVANTAGE/MERCY IPA/OP,1240 E. DIEHL RD,NAPERVILLE,IL,60563,312-567-7685,INDPM
851,Blue Choice PPO,PO BOX 805107,CHICAGO,IL,60680-3625,800-538-8833,SB621
852,Blue Choice PPO Facility,PO BOX 805107,CHICAGO,IL,606803625,800-972-8088,SB621
10,BLUE CROSS BLUE SHIELD,PO BOX 805107,CHICAGO,IL,60680-3625,800-538-8833,SB621
712,Blue Cross Blue Shield MI,600 E LAFAYETTE BLVD,DETROIT,MI,48226-2927,800-400-2815,
544,Blue Cross Blue Shield MMP,300 E Randolph,Chicago,IL,60601,800-654-7385,
455,Blue Cross Community FHP/ICP,P.O. BOX 3418,SCRANTON,PA,18505-3418,877-860-2837,MCDIL
842,Blue Cross Community FHP/ICP 2,P.O. BOX 3418,SCRANTON,PA,18505-3418,877-860-2837,66005
563,Blue Cross Community MMAI,P.O. BOX 4168,SCRANTON,PA,18505-4168,877-723-7702,MCDIL
673,Blue Cross Community-Mcdil,PO BOX 3267,Scranton,PA,18505-0267,,MCDIL
564,Blue Cross Community-UB,PO BOX 804433,CHICAGO,IL,60680-4105,800-972-8088,66005
591,BLUE CROSS EXCHANGE-MERCY 1,1240 DIEHL RD,NAPERVILLE,IL,60563,630-300-6240,INDPM
674,BLUE CROSS HEALTH CHOICE,PO BOX 4168,SCRANTON,PA,18505,,
498,BLUE CROSS MEDICARE ADV PPO,PO BOX 3686,SCRANTON,PA,18505-0661,877-774-8592,66006
252,BLUE CROSS MEDICARE ADVANTAGE,PO BOX 3686,SCRANTON,PA,18505-0661,877-774-8592,66006
497,BLUE CROSS MEDICARE ADVANTAGE HMO,PO BOX 3686,Scranton,PA,18505-0661,877-774-8592,66006
464,Blue Cross Medicare Advantage UB,PO BOX 3686,Scranton,PA,18505-0661,800-972-8088,66006
698,Blue FocusCare,P.O. BOX 3418,SCRANTON,PA,18505-3418,877-860-2837,66005
542,BLUE SHIELD OF PR MEDICARE ADVANTAGE,PO BOX 11320,SAN JUAN,PR,9221320,787-774-6060,66006
579,BMGI,P.O. BOX 211397,Eagan,MN,55121,855-257-0145,49105
732,Bright Health HMO,PO Box 16275,Reading,PA,19612-6275,866-239-7191,BRGHT
770,Bright Healthcare PPO,PO Box 16275,Reading,PA,19612-6275,866-239-7191,BRGHT
598,CAPITOL ADMINISTRATORS,10951 WHITE ROCK RD,RANCHO CORDOVA,CA,95670-6366,916-669-2500,68011
641,Cardinal Choice,,,,,877-301-6136,
746,Care First BCBS,PO BOX 981608,EL PASO,TX,79998-1612,,75191
433,CATAMARAN,PO BOX 968022,SCHAUMBURG,IL,60196-8002,800-756-3702,
11,CELTIC INSURANCE COMPANY,P O BOX 26440,LITTLE ROCK,AR,72221,800-477-7870,CELTC
40,CELTIC INSURANCE COMPANY 2,P O BOX 26440,LITTLE ROCK,AR,72221,800-477-7870,CELTC
367,CENPATICO,PO BOX 7200,Farmington,MO,63640-4402,866-329-4701,PAPER
212,central ink,,,,,,
508,CENTRAL UNITED LIFE,PO BOX 924408,HOUSTON,TX,77292-4401,800-999-2971,
771,CENTRAL UNITED LIFE INSURANCE,P O Box 925568,Houston,TX,77292-5568,800-877-7703,
299,CENTURY HEALTHCARE,PO BOX 2256,GRAPEVINE,TX,76099-2161,800-950-7040,75261
402,Century Healthcare 2,PO BOX 2256,GRAPEVINE,TX,76099-2161,800-950-7040,75261
12,CENTURY PHO,1029 N SACRAMENTO AVE,CHICAGO,IL,606222746,773-278-8555,36393
691,CENTURY PHO (HUMANA),1240 E DIEHL ROAD S,NAPERVILLE,IL,60563,,
338,"Certificed Services, Inc.",PO BOX 177,Waukegan,IL,60079-0177,847-623-6440,
360,CHAMP VA- JESSE BROWN,136E 820 SOUTH DAMEN AVE,CHICAGO,IL,60612,312-569-8387,SPRNT
95,Chesterfield Resources. Inc,PO BOX 1884,AKRON,OH,44309,888-575-3132,34154
404,CHICAGO HEALTH SYSTEM,PO BOX 9006,OAK BROOK,IL,60522-9292,708-783-7100,621
835,CHRISTIAN BROTHER SERVICES,,,,,,
593,Christian Brothers Jesuit Trust,1205 Windham Pkwy,Romeoville,IL,60446-1672,800-807-0500,38308
354,CHRISTIAN HEALTHCARE MINISTRY,ATTN TALEYA BELL,BARBERTON,OH,44201,,PAPER
557,Cigna,PO BOX 188061,CHATTANOOGA,TN,37422-8061,800-244-6224,62308
13,CIGNA,PO BOX 182223,CHATTANOOGA,TN,374227223,800-244-6224,62308
387,CIGNA OPEN ACCESS PLUS,PO BOX 188061,CHATTANOOGA,TN,37422-8061,800-244-6224,62308
41,CIGNA 2,P O BOX 182223,CHATTANOOGA,TN,374227223,800-244-6224,62308
558,Cigna 2,PO BOX 188061,Chattanooga,TN,374228061,866-494-2111,62308
843,Cigna Connecticut General Life Ins,PO BOX 188021,CHATTANOOGA,TN,37422,800-258-6534,62308
710,Cigna Health Springs Advocate Group,PO Box 0522,Mount Prospect,IL,60056-0522,800-356-6747,36320
846,CIGNA HEALTH SPRINGS- True Choice Plus Medicare (PPO)/,PO BOX 981706,El Paso,TX,79998,800-230-7298,52192
366,CIGNA HEALTHCARE,PO BOX 188010,CHATTANOOGA,TN,37422,800-258-6534,62308
278,CIGNA HEALTHSPRING,PO BOX 981706,El Paso,TX,79998,800-230-6138,52192
225,CIGNA HEALTHSPRING 2,PO BOX 981804,El PASO,TX,79998,866-668-3813,E3092
18,CIGNA HEALTHSPRING MMAI,PO BOX 981804,El Paso,TX,79998-1804,866-486-6065,52192
503,CIGNA HMO,PO BOX 182223,CHATTANOOGA,TN,374227223,800-244-6224,62308
512,CIGNA HMO CONNECT,PO BOX 188061,CHATTANOOGA,TN,37422-8061,877-625-0205,62308
803,Cigna International,PO Box 15964,Wilmington,DE,19850,800-835-7677,62308
804,Cigna International 2,PO BOX 15964,Wilmington,DE,19850,800-835-7677,62308
235,CIGNA MEDICARE HMO,PO BOX 981706,El Paso,TX,79998,800-230-7298,52192
845,Cigna Medicare Supplement 2,PO BOX 30010,Austin,TX,78755-3010,866-459-1755,13193
792,Cigna Medicare Supplement Insurance,PO Box 30010,Austin,TX,787553010,866-459-1755,13193
228,CIGNA MEDICARE SUPPLEMENT SOLUTIONS,PO BOX 30010,AUSTIN,TX,78755-3010,866-459-1755,13193
632,Cigna One Health,PO BOX 188061,CHATTANOOGA,TN,37422-8061,877-625-0205,62308
401,Cigna Open Access 2,P O BOX 188061,CHATTANOOGA,TN,374228061,877-625-0205,62308
781,CIGNA Open Access plus,PO BOX 182223,CHATTANOOGA,TN,374227223,800-244-6224,62308
814,CIGNA Open Access Plus 2,P O BOX 182223,CHATTANOOGA,TN,374227223,800-244-6224,62308
589,CIGNA PPO,P.O. BOX 3025,BOURBONNAIS,IL,60914,,
689,Cigna-HealthSpring Preferred (HMO),PO Box 981706,El Paso,TX,79998,800-230-6138,63092
861,Claims Administration 2,PO BOX 371860,Denver,CO,80237-9998,888-567-6847,52095
755,CLAIMSBRIDGE,P O BOX 416,ARNOLD,MD,21012,410-349-3222,11752
626,Clear Spring Health,PO BOX 491,Park Ridge,IL,60068-0491,877-349-9339,85468
98,"Co-ordinated benefit plans, LLC",P O Box 21517,Eagan,MN,55121,877-693-8529,
699,"Co-ordinated benefit plans, LLC",P O Box 21673,Eagan,MN,55121,800-269-3563,
116,"Co-ordinated benefit plans, LLC 2",PO BOX 21517,Eagan,MN,55121,877-693-8529,SPRNT
720,Cofinity,PO BOX 2720,FARMINGTON HILLS,MI,48333-2661,800-622-5579,42049
236,COLONIAL PENN LIFE INSURANCE COMPANY,PO BOX 1935,CARMEL,IN,46082-1935,800-800-2254,PAPER
277,COMBINED INSURANCE,P O BOX 740189,ATLANTA,GA,30374-0819,800-523-5800,36273
428,Commercial Travelers,70 GENESEE ST,UTICA,NY,13502-3503,800-756-3702,88091
429,Commercial Travelers 2,70 GENESEE ST,UTICA,NY,13502-3581,800-756-3702,88091
353,COMMUNITY CARE ALLIANCE IL 2020,P.O. Box 3417,SCRATON,PA,185050417,877-364-4566,66012
494,COMMUNITY CARE ALLIANCE OF IL 2019,PO BOX 3417,Scranton,PA,185050417,877-364-4566,66012
444,Community Care NFP MCR for 2019,P.O. Box 981731,El Paso,TX,79998-1731,877-364-4566,66012
489,"COMMUNITY HEALTH CHOICE,INC",PO BOX 301424,HOUSTON,TX,77230,855-315-5386,60495
568,Companion Life,PO BOX 247,ALPHARETTA,GA,30009-0247,844-630-7500,7689
62,COMPANION LIFE INS CO 2,"994 OLD EAGLE SCHOOL ROAD, SUITE 1005",WAYNE,PA,190871802,866-317-9040,SPRNT
61,COMPANION LIFE INS COMPANY,"994 OLD EAGLE SCHOOL ROAD, SUITE 1005",WAYNE,PA,190871802,866-317-9040,22384
393,COMPANION LIFE WEB-TPA,P.O.BOX 99906,GRAPEVINE,TX,76099-9906,800-952-7420,75261
153,Comprehensive Benefits,PO BOX 8955,Melville,NY,11747,800-231-7269,3036
599,connect your care llc,123 no info,CHICAGO,IL,60680-3625,800-972-8088,
281,Consolidated Health Plan,2077 Roosevelt Avenue,Springfiled,MA,01104-3503,800-633-7867,87843
654,Consolidated Health Plan 2,2077 Roosevelt Avenue,Springfiled,MA,01104-3503,855-664-5837,87843
620,Cook Medical Group,PO BOX 21244,Eagan,MN,55121,844-433-8811,60065
14,CORESOURCE,P.O. BOX 2920,CLINTON,IA,527332920,800-848-3012,58379
42,CORESOURCE 2,P.O. BOX 2920,CLINTON,IA,527332920,800-848-3012,58379
341,COUNTRY LIFE INSURANCE COMPANY,ATTN MEDICARE CLAIM PROCESSING CENTER,CLEARWATER,FL,33757-8870,855-304-2858,
469,COUNTY CARE HEALTH PLAN,PO BOX 211592,Eagan,MN,55121-2892,312-864-8200,6541
811,County Care Health Plan 2,PO BOX 211592,Eagan,MN,55121-2892,312-864-8200,6541
63,COVENTRY HEALTHCARE,P.O. BOX 7704,LONDON,KY,40742,800-627-4872,25133
316,Coventry Healthcare-Medicare,P.O. BOX 7087,LONDON,KY,40742,800-627-4872,25133
317,Coventry Healthcare-Medicare 2,P O BOX 7087,LONDON,KY,40742,800-627-4872,E5133
137,COVENTRY HEALTHCARE2,P O BOX 7704,LONDON,KY,40742,800-627-4872,E5133
381,COVENTRY ONE PPO NETWORK,P.O. BOX 7141,LONDON,KY,40742,800-562-5792,25133
848,Custom Design Benefits,5589 CHEVIOT RD,CINCINNATI,OH,45247-7020,513-855-6352,82056
853,Custom Design Benefits 2,5589 Cheviot Road,Cincinnati,OH,45247-7020,513-855-6352,82056
210,Cypress Benefits Administrators,PO Box 880,Farmington,IL,48331,800-975-0070,88056
463,Cypress Benefits Administrators 2,PO BOX 880,FARMINGTON,MI,48332-0851,800-975-0070,880UB
330,Dart Member Care,PO BOX 173129,TAMPA,FL,33672-1129,800-248-0457,CB987
485,Dart Member Care UB,P O BOX 173129,TAMPA,FL,33672-1129,800-248-0457,CB98U
779,Devoted Health,P O Box 211524,Eagan,MN,55121,877-762-3515,DEVOT
389,Do Not Use No an Insurance Multiplan,PO BOX 99906,Grapevine,TX,76099,800-952-7420,75261
231,Do Not Use No an Insurance MULTIPLAN,P O BOX 5397,DEPERE,WI,541150000,800-672-2140,SPRNT
245,Do Not Use No an Insurance MULTIPLAN LTD BENEFITS,CLAIMEDIX,KANSAS CITY,MO,641140000,888-350-1488,74048
52,EA HEALTH,EA HEALTH,,IL,,866-803-2262,SPRNT
870,ELAP,PO BOX 9763,ARNOLD,MD,21012-0794,877-435-2063,80900
875,ELAP2,PO BOX 9763,ARNOLD,MD,21012-0794,877-435-2063,80900
759,"Employee Plans, LLC",1111 Chestnut Hills Pkwy,Fort Wayne,IN,46814,800-964-7444,35112
760,"Employee Plans, LLC 2",1111 Chestnut Hills Pkwy,Fortt Wayne,IN,46814,800-964-7444,35112
94,"Envision Healthcare, Inc.",PO BOX 5047,Oak Brook,IL,605225047,866-672-7526,
213,Equitable Life,P.O. Box 2460,Salt Lake City,UT,84110-2460,800-352-5170,SPRNT
467,FAMILY HEALTH NETWORK FHP,P.O. BOX 981731,EL Paso,TX,79998-1731,888-346-4968,85468
104,First Health Network,P.O. BOX 2140,Folsom,CA,95763-2140,866-755-6974,SPRNT
379,FIRST HEALTH NETWORK,PO BOX 88500,INDIANAPOLIS,IN,46208,800-628-4664,PAPER
105,First Health Network 2,P.O. BOX 2140,Folsom,CA,95763-2140,866-755-6974,37308
132,FIRST+PLUS,PO BOX 195559,SAN JUAN,PR,919,787-625-9557,SPRNT
161,Freedom Life insurance Company PHCS,PO BOX 1628,Addision,TX,75001-1628,877-698-7440,62324
784,Freedom Life Insurance PHCS 2,PO Box 1628,Addision,TX,75001-1628,866-745-8744,62324
672,Fringe Benefit Group,PO BOX 21854,EAGAN,MN,55121-0854,855-495-1192,45289
719,Fringe Benefit Group (Do not Use),PO BOX 211704,EAGAN,MN,55121-3673,888-798-9480,59204
874,Fringe Benefit Group 2,PO BOX 21854,Eagan,MN,55121,855-495-1192,45289
816,Fringe Benefit Group 2 (Do Not Use),PO BOX 211704,Eagan,MN,55121,888-798-9480,93158
650,FULTON TROIKA LLC,,,,,,
73,GEHA,PO BOX 4665,Independance,MO,640514665,800-821-6136,44054
74,GEHA 2,PO BOX 4665,Independance,MO,640514665,800-821-6136,44054
99,Geisinger choice,P.O. BOX 8200,Danville,PA,17821-8200,800-504-0443,SPRNT
100,Geisinger Choice 2,Po Box 8200,Danville,PA,17821-8200,800-504-0443,SPRNT
716,GEISINGER HEALTH GROUP,P O BOX 853910,RICHARDSON,TX,75085-3910,800-876-5357,75273
53,GHI,PO Box 3000,New York,NY,101153000,212-501-4444,13551
217,GHI 2,PO BOX 3000,New York,NY,101163000,212-615-4362,A3551
509,"GLOBAL CARE, INC.",PO BOX 247,Alpharetta,GA,30009-0247,866-323-2985,7689
707,Global Excel Aetna,777 Brickell Ave,Miami,FL,,866-299-2900,
233,GLOBAL EXCEL MANAGEMENT,PO BOX 10,BEEBE PLAIN,VT,05823-0001,877-566-6520,GEM01
427,"GMMI, INC",1300 CONCORD TER,SUNRISE,FL,33323-2899,800-682-6065,SPRNT
812,GMP-Employers Retiree Trust,5245 Blg Pine Way. S.E.,Fort Myers,FL,33907-5998,239-936-6242,23641
399,Golden Rule,712 11TH ST,LAWRENCEVILLE,IL,62439-2316,888-657-8205,37602
75,Golden Rule 2,PO BOX 31374,SALT LAKE CITY,UT,841310374,800-657-8205,37602
72,Golden Rule United Health One,PO BOX 31374,SALT LAKE CITY,UT,841310374,800-657-8205,37602
634,GOTTLIEB WEST TOWNS PHO PART OF LOYOLA,675 W NORTH AVE,Melrose Park,IL,60160,708-538-4945,
408,GOUP,PO BOX 749075,DALLAS,TX,75374-9075,866-206-3224,48143
594,GOUP 2,PO BOX 749075,DALLAS,TX,75374-9075,866-206-3224,48143
616,GPA,PO BOX 749075,DALLAS,TX,75374-9075,800-827-7223,48143
617,GPA 2,PO BOX 749075,DALLAS,TX,75374-9075,800-827-7223,48143
560,GPM Health and Life,PO BOX 2679,OMAHA,NE,68103-2679,866-865-7631,SPRNT
783,Group & Pension Administrator2,PO BOX 749075,Dallas,TX,753749075,866-206-3224,48143
409,"GROUP & PENSION ADMINISTRATORS, INC.",PO BOX 749075,DALLAS,TX,75374-9075,866-206-3224,48143
15,GROUP ADMINISTRATORS,PO BOX 95600,HOFFMAN ESTATES,IL,601950600,800-323-1683,36338
121,Group Administrators 2,PO BOX 95600,Hoffman Estates,IL,601950600,800-323-1683,36338
523,GROUP HEALTH COOPERATIVE MADISON WI,PO BOX 44971,MADISON,WI,53744-4971,608-251-4156,39167
16,GWH CIGNA,P.O BOX 188061,CHATTANOOGA,TN,37422,866-494-2111,80705
